Gender,District_Location,Education_Stream,Soft_Skills,Key_Skils,Current_semester,GPA,Experties_Preferred_GPA,Experties_preferred_tech_skills,Experties_preferred_Skills,Experties_Preferred_Career_Field,English_score,Ocean_Openness,Ocean_Conscientiousness,Ocean_Extraversion,Ocean_Agreeableness,Ocean_Neuroticism,Riasec_Realistic,Riasec_Investigative,Riasec_Artistic,Riasec_Social,Riasec_Enterprising,Riasec_Conventional,Learning_Style,Course_Recommendation,University_Recommendation,Skill_Gap_Score,Feedback_Score,Data_Consent,Timestamp
Male,Colombo,Bio Stream,"Communication, Teamwork, Time Management","Java, Python, Spring Boot, MySQL, Git, RESTful APIs, Docker, JUnit, Postman",1Y1S,1,3.3,"Java, Python, Spring Boot, MySQL, Git"," Communication, Teamwork, Time Management",Data Science & Analytics,83,5,3,4,2,5,7,6,9,4,3,8,Visual,,,,,,
Female,Gampaha,Maths Stream,"Leadership, Problem Solving, Critical Thinking","SQL, Python, Pandas, Power BI, Tableau, Excel (Pivot, VLOOKUP), Statistics, Data Visualization",1Y2S,1.3,3.3,"SQL, Python, Pandas, Power BI, Tableau ","Leadership, Problem Solving, Critical Thinking",Data Science & Analytics,57,4,5,2,5,1,3,2,4,7,10,1,Kinesthetic,,,,,,
Male,Kandy,Bio Stream,"Public Speaking, Teamwork, Adaptability","HTML5, CSS3, JavaScript ES6+, React.js, Tailwind CSS, Git, Responsive Design, Redux",2Y1S,2.1,3,"HTML5, CSS3, JavaScript ES6+, React.js, Tailwind CSS ","Public Speaking, Teamwork, Adaptability",Frontend / Web Developer,92,3,1,5,4,4,10,9,1,2,6,6,Visual,,,,,,
Female,Galle,Maths Stream,"Communication, Presentation Skills, Emotional Intelligence","Java, Spring Boot, PostgreSQL, REST APIs, Maven, Docker, Hibernate, JUnit",1Y1S,3.4,3.3,"Java, Spring Boot, PostgreSQL, REST APIs, Maven","Communication, Presentation Skills, Emotional Intelligence",Data Science & Analytics,64,2,4,1,1,3,2,4,7,9,1,10,Visual,,,,,,
Male,Matara,Commerce Stream,"Time Management, Work Ethic, Attention to Detail","React.js, Node.js, Express.js, MongoDB, TypeScript, Docker, Git, Redux",2Y2S,4,3.2," React.js, Node.js, Express.js, MongoDB, TypeScript","Time Management, Work Ethic, Attention to Detail",DevOps / Cloud Engineer,79,1,2,3,3,2,5,1,3,1,8,3,Kinesthetic,,,,,,
Female,Kurunegala,Bio Stream,"Leadership, Conflict Resolution, Negotiation","Docker, Kubernetes, Jenkins, Terraform, AWS, Linux, Bash, CI/CD, Prometheus",1Y2S,2.7,3.2,"Docker, Kubernetes, Jenkins, Terraform, AWS","Leadership, Conflict Resolution, Negotiation",DevOps / Cloud Engineer,48,5,5,5,4,5,8,8,10,6,4,7,Visual,,,,,,
Male,Puttalam,Maths Stream,"Teamwork, Collaboration, Empathy","Figma, Adobe XD, Wireframing, Prototyping, User Research, Design Systems, Accessibility WCAG",1Y1S,3.9,3,"Figma, Adobe XD, Wireframing, Prototyping, User Research","Teamwork, Collaboration, Empathy",UI/UX Designer,73,4,2,3,2,3,1,3,6,3,7,4,Read/Write,,,,,,
Female,Kegalle,Bio Stream,"Problem Solving, Analytical Thinking, Creativity","Flutter, Dart, Firebase, Provider/Bloc/Riverpod, REST APIs, Git, State Management, App Publishing",2Y1S,4.5,3,"Flutter, Dart, Firebase, Provider/Bloc/Riverpod, REST APIs","Problem Solving, Analytical Thinking, Creativity",Mobile App Developer,95,3,3,4,5,1,9,7,2,10,2,9,Visual,,,,,,
Other,Ratnapura,Arts Stream,"Communication, Active Listening, Confidence","Python, Pandas, Scikit-learn, TensorFlow/Keras, SQL, Jupyter, Statistics, Model Evaluation",1Y2S,1.8,3.3,"Python, Pandas, Scikit-learn, TensorFlow/Keras, SQL","Communication, Active Listening, Confidence",AI / Machine Learning Engineer,88,2,4,2,1,4,4,5,8,5,9,2,Kinesthetic,,,,,,
Male,Badulla,Maths Stream,"Time Management, Organization, Stress Management","PyTorch, TensorFlow, Scikit-learn, Docker, MLflow, AWS SageMaker, FastAPI, NumPy",2Y2S,2.4,3.3,"PyTorch, TensorFlow, Scikit-learn, Docker, Mlflow","Time Management, Organization, Stress Management",AI / Machine Learning Engineer,41,1,1,1,3,2,6,10,5,8,5,5,Visual,,,,,,
