gender,languages_selected,education_level,major_field_of_study,cgpa,current_year,current_semester,experties_major_gpa,experties_suggest_career,student_programming_learned,mind_stress_management,learning_style,student_expectation,preferred_work_environment,work_life_balance,internship_experience,real_world_projects_completed,certifications
female,"english, sinhala",bachelor's degree,information technology,4.0,2,2,2.95,Software Engineer,"Python, Java, OOP, Spring Boot",moderate,kinesthetic,data scientist,remote,poor,yes,0,aws
male,"english, sinhala",bachelor's degree,cyber security,3.49,4,2,2.92,Full Stack Developer,"MongoDB, JavaScript, Express, Node.js",low,auditory,systems analyst,onsite,poor,no,8,none
female,"sinhala, tamil",bachelor's degree,data science,2.36,1,1,3.82,Frontend Developer,"Tailwind CSS, React, CSS, HTML",low,auditory,qa engineer,hybrid,excellent,no,7,cisco
male,tamil,bachelor's degree,data science,3.89,4,2,2.75,Backend Developer,"Spring Boot, Node.js, Microservices, Java",moderate,auditory,software engineer,onsite,average,yes,3,google
male,english,bachelor's degree,computer science,2.86,2,1,2.85,Web Developer,"Bootstrap, CSS, JavaScript, MySQL",low,visual,data scientist,remote,excellent,yes,9,google
female,"tamil, english",bachelor's degree,computer science,3.69,2,1,3.69,Mobile App Developer,"Swift, Firebase, Kotlin, REST API",excellent,kinesthetic,devops engineer,remote,poor,no,2,aws
male,"english, sinhala",bachelor's degree,software engineering,3.92,3,2,2.47,Data Scientist,"Machine Learning, NumPy, SQL, Pandas",low,visual,systems analyst,onsite,poor,yes,2,azure
male,tamil,bachelor's degree,information technology,3.73,4,1,3.72,Data Analyst,"SQL, Python, Power BI, Statistics",low,visual,security engineer,onsite,excellent,no,10,aws
female,"sinhala, tamil",bachelor's degree,cyber security,3.71,3,1,3.2,Machine Learning Engineer,"Scikit-learn, NumPy, TensorFlow, Deep Learning",low,auditory,software engineer,onsite,average,no,7,cisco
male,"english, sinhala",bachelor's degree,cyber security,2.2,2,1,3.34,AI Engineer,"LLMs, Data Processing, TensorFlow, NLP",excellent,auditory,software engineer,remote,poor,yes,1,azure
male,tamil,bachelor's degree,cyber security,2.8,3,1,2.4,BI Developer,"DAX, SQL, Tableau, ETL Tools",low,visual,software engineer,onsite,average,no,5,aws
female,"tamil, english",bachelor's degree,software engineering,3.49,4,1,2.42,DevOps Engineer,"Kubernetes, Linux, AWS, Jenkins",moderate,auditory,software engineer,remote,average,yes,8,google
male,"sinhala, tamil",bachelor's degree,information technology,3.05,3,2,2.63,Cloud Engineer,"Kubernetes, Terraform, Docker, Azure",moderate,visual,software engineer,remote,poor,yes,1,google
male,english,bachelor's degree,information technology,3.36,3,1,3.65,Cloud Architect,"IaC, Security, Microservices, AWS/Azure Design",low,kinesthetic,data scientist,remote,excellent,no,9,none
female,"english, sinhala, tamil",bachelor's degree,data science,3.11,4,2,3.23,Cybersecurity Analyst,"Firewalls, Python, Linux, Risk Analysis",moderate,visual,qa engineer,hybrid,average,yes,11,google
female,"sinhala, tamil",bachelor's degree,information technology,2.78,1,2,3.07,Ethical Hacker,"Kali Linux, Wireshark, Burp Suite, Python",excellent,kinesthetic,security engineer,onsite,excellent,no,5,google
female,tamil,bachelor's degree,computer science,2.38,2,1,2.33,Security Engineer,"Firewalls, SIEM, Cloud Security, Encryption",excellent,kinesthetic,software engineer,remote,poor,yes,4,none
male,"english, sinhala",bachelor's degree,software engineering,3.05,2,1,2.55,Information Security Analyst,"SIEM, Incident Response, Networking, SOC Tools",low,auditory,qa engineer,onsite,average,yes,10,aws
male,"sinhala, tamil",bachelor's degree,information technology,3.36,3,2,3.74,Network Engineer,"Cisco, TCP/IP, Firewalls, VPN",low,kinesthetic,security engineer,remote,excellent,no,3,aws
female,"english, sinhala, tamil",bachelor's degree,cyber security,2.32,2,2,3.78,System Administrator,"Virtualization, Active Directory, Windows Server, Bash",excellent,visual,security engineer,remote,excellent,no,12,aws
female,"english, sinhala",bachelor's degree,computer science,2.41,1,2,3.45,IT Support Engineer,"Hardware, Windows, Ticketing Tools, Networking",excellent,auditory,qa engineer,onsite,average,no,4,cisco
female,"sinhala, tamil",bachelor's degree,information technology,3.67,3,1,2.85,Hardware Engineer,"Arduino, Electronics, Circuit Design, Embedded C",low,auditory,devops engineer,hybrid,poor,yes,7,azure
male,"english, sinhala",bachelor's degree,information technology,3.62,1,2,3.23,QA Engineer,"API Testing, Manual Testing, SQL, Jira",excellent,auditory,devops engineer,hybrid,poor,yes,6,cisco
female,"english, sinhala",bachelor's degree,data science,3.99,4,1,3.6,Software Tester,"Test Plans, Bug Tracking, Agile, Manual Testing",moderate,kinesthetic,qa engineer,hybrid,excellent,no,9,google
female,sinhala,bachelor's degree,cyber security,2.91,2,2,3.61,Automation Test Engineer,"Python, Java, Selenium, TestNG",excellent,visual,security engineer,remote,excellent,no,1,cisco
male,"tamil, english",bachelor's degree,information technology,2.83,3,1,2.32,UI Designer,"UI Principles, Figma, Adobe XD, Photoshop",low,kinesthetic,data scientist,remote,average,yes,7,none
male,"english, sinhala, tamil",bachelor's degree,data science,3.16,3,1,3.59,UX Designer,"Prototyping, Figma, Psychology, Wireframing",low,visual,data scientist,hybrid,average,yes,10,none
male,tamil,bachelor's degree,data science,2.61,4,1,3.67,Product Designer,"UI Design, User Flow, Figma, Prototyping",excellent,kinesthetic,security engineer,hybrid,average,no,1,aws
female,"sinhala, tamil",bachelor's degree,software engineering,3.86,2,1,2.88,Blockchain Developer,"Ethereum, Solidity, Smart Contracts, Cryptography",low,kinesthetic,systems analyst,remote,excellent,no,9,cisco
female,tamil,bachelor's degree,information technology,2.89,3,1,2.51,IoT Engineer,"Cloud Integration, Arduino, Raspberry Pi, MQTT",low,auditory,qa engineer,onsite,poor,yes,10,cisco
female,"tamil, english",bachelor's degree,cyber security,2.72,2,2,3.45,Embedded Systems Engineer,"Microcontrollers, C/C++, Electronics, RTOS",excellent,visual,software engineer,hybrid,excellent,yes,12,azure
female,english,bachelor's degree,information technology,3.26,3,1,3.1,AR/VR Developer,"3D Modeling, Unreal Engine, XR SDKs, Unity",low,auditory,security engineer,remote,poor,no,3,google
male,"english, sinhala",bachelor's degree,cyber security,4.0,1,2,2.96,SEO Specialist,"Content Strategy, Backlinks, HTML, SEO Tools",low,kinesthetic,software engineer,onsite,poor,yes,7,aws
male,english,bachelor's degree,data science,3.88,3,1,3.02,IT Support Specialist,"Active Directory, Troubleshooting, Ticketing Systems, Networking",moderate,visual,systems analyst,hybrid,excellent,yes,6,none
male,"tamil, english",bachelor's degree,data science,3.64,4,1,2.97,Software Engineer,"Python, OOP, Java, Git",low,visual,devops engineer,onsite,poor,no,4,aws
male,"sinhala, tamil",bachelor's degree,cyber security,2.65,3,2,2.37,Full Stack Developer,"REST API, Express, Node.js, MongoDB",excellent,auditory,systems analyst,hybrid,poor,no,10,azure
male,english,bachelor's degree,computer science,2.31,4,2,3.24,Frontend Developer,"HTML, React, JavaScript, TypeScript",low,visual,devops engineer,hybrid,poor,yes,5,cisco
female,english,bachelor's degree,computer science,2.81,2,2,3.86,Backend Developer,"Microservices, Java, SQL, Node.js",excellent,auditory,qa engineer,hybrid,excellent,yes,1,google
male,"english, sinhala, tamil",bachelor's degree,information technology,2.79,3,2,3.7,Web Developer,"PHP, JavaScript, HTML, MySQL",low,visual,data scientist,onsite,average,no,5,aws
male,"sinhala, tamil",bachelor's degree,software engineering,2.97,2,1,2.92,Mobile App Developer,"REST API, Flutter, Kotlin, Swift",excellent,auditory,systems analyst,remote,average,yes,3,azure
male,sinhala,bachelor's degree,information technology,2.67,3,2,2.79,Data Scientist,"Tableau, Pandas, NumPy, Python",moderate,auditory,security engineer,onsite,excellent,yes,10,azure
female,"english, sinhala, tamil",bachelor's degree,computer science,3.66,3,1,2.62,Data Analyst,"Statistics, Data Visualization, SQL, Excel",low,kinesthetic,systems analyst,remote,excellent,no,6,none
male,"english, sinhala, tamil",bachelor's degree,computer science,4.0,1,2,2.29,Machine Learning Engineer,"NumPy, Python, Scikit-learn, Pandas",low,kinesthetic,data scientist,remote,average,yes,7,none
male,sinhala,bachelor's degree,cyber security,2.74,2,1,2.62,AI Engineer,"LLMs, NLP, Data Processing, Python",low,visual,security engineer,remote,average,yes,8,cisco
male,"english, sinhala",bachelor's degree,information technology,2.11,1,1,3.09,BI Developer,"DAX, Tableau, Excel, Power BI",low,visual,security engineer,hybrid,excellent,no,9,cisco
female,"sinhala, tamil",bachelor's degree,information technology,3.24,3,2,2.94,DevOps Engineer,"CI/CD, Docker, Jenkins, Kubernetes",low,auditory,security engineer,onsite,poor,no,0,aws
female,english,bachelor's degree,cyber security,4.0,3,1,2.61,Cloud Engineer,"Docker, Kubernetes, GCP, Azure",low,kinesthetic,data scientist,remote,excellent,yes,4,cisco
male,sinhala,bachelor's degree,cyber security,3.97,1,1,2.49,Cloud Architect,"AWS/Azure Design, IaC, Scalability, Networking",low,auditory,security engineer,onsite,excellent,no,0,azure
female,english,bachelor's degree,computer science,3.54,3,2,3.99,Cybersecurity Analyst,"Firewalls, Python, SIEM, Risk Analysis",low,visual,qa engineer,remote,poor,yes,8,aws
male,"english, sinhala",bachelor's degree,computer science,3.91,2,2,2.63,Ethical Hacker,"Nmap, Python, Wireshark, Burp Suite",excellent,auditory,devops engineer,hybrid,average,yes,3,google
male,english,bachelor's degree,computer science,2.1,2,2,2.92,Security Engineer,"Firewalls, SIEM, Encryption, Linux",low,auditory,qa engineer,remote,excellent,yes,5,azure
male,"sinhala, tamil",bachelor's degree,software engineering,3.24,4,1,3.09,Information Security Analyst,"Risk Assessment, SIEM, Incident Response, SOC Tools",low,visual,devops engineer,onsite,excellent,yes,5,none
female,english,bachelor's degree,software engineering,2.85,3,1,3.34,Network Engineer,"VPN, Switching, Cisco, Routing",excellent,auditory,software engineer,onsite,excellent,yes,0,azure
female,english,bachelor's degree,computer science,2.9,3,1,3.75,System Administrator,"Linux, Virtualization, Active Directory, Bash",low,auditory,security engineer,remote,average,no,7,none
male,sinhala,bachelor's degree,information technology,2.93,4,2,3.6,IT Support Engineer,"Networking, Hardware, Troubleshooting, Windows",low,auditory,devops engineer,remote,excellent,yes,12,google
female,tamil,bachelor's degree,information technology,3.08,1,1,3.73,Hardware Engineer,"Microcontrollers, PCB Design, Circuit Design, Arduino",moderate,kinesthetic,qa engineer,onsite,excellent,no,11,azure
male,"sinhala, tamil",bachelor's degree,information technology,3.69,3,2,2.76,QA Engineer,"Test Cases, Jira, Selenium, Manual Testing",low,auditory,systems analyst,hybrid,excellent,no,7,none
male,english,bachelor's degree,cyber security,3.89,2,1,3.22,Software Tester,"Test Plans, Bug Tracking, Agile, SQL",low,auditory,data scientist,hybrid,average,yes,3,google
male,"english, sinhala, tamil",bachelor's degree,cyber security,3.54,3,2,3.47,Automation Test Engineer,"Selenium, Python, Java, CI/CD",low,visual,software engineer,hybrid,excellent,no,1,azure
female,tamil,bachelor's degree,data science,2.43,1,1,3.89,UI Designer,"Prototyping, Figma, Adobe XD, UI Principles",excellent,kinesthetic,software engineer,onsite,poor,yes,6,azure
female,"english, sinhala, tamil",bachelor's degree,cyber security,2.99,1,2,3.26,UX Designer,"Prototyping, UX Testing, User Research, Figma",moderate,visual,systems analyst,remote,poor,no,6,google
female,sinhala,bachelor's degree,information technology,2.28,2,2,3.19,Product Designer,"User Flow, Figma, Prototyping, Design Systems",excellent,visual,security engineer,hybrid,excellent,yes,1,none
female,"sinhala, tamil",bachelor's degree,information technology,2.97,4,1,2.73,Blockchain Developer,"Web3.js, Node.js, Solidity, Smart Contracts",moderate,visual,security engineer,hybrid,poor,no,3,none
female,"tamil, english",bachelor's degree,data science,3.05,1,2,2.49,IoT Engineer,"Raspberry Pi, MQTT, Cloud Integration, C/C++",moderate,auditory,software engineer,onsite,poor,no,1,azure
female,"english, sinhala",bachelor's degree,data science,3.13,3,1,2.42,Embedded Systems Engineer,"IoT, Microcontrollers, C/C++, PCB Design",excellent,visual,software engineer,hybrid,poor,no,3,google
male,"tamil, english",bachelor's degree,cyber security,2.94,2,2,3.16,AR/VR Developer,"C#, Unity, XR SDKs, Unreal Engine",excellent,visual,software engineer,onsite,poor,yes,8,none
female,english,bachelor's degree,data science,2.28,2,2,2.33,SEO Specialist,"Google Analytics, SEO Tools, Content Strategy, Backlinks",excellent,kinesthetic,systems analyst,onsite,excellent,no,1,none
male,tamil,bachelor's degree,cyber security,2.33,2,1,3.96,IT Support Specialist,"Networking, Windows, Ticketing Systems, Hardware",low,visual,devops engineer,hybrid,average,yes,5,azure
male,"tamil, english",bachelor's degree,information technology,3.39,3,2,3.06,Software Engineer,"OOP, Java, Python, Spring Boot",low,kinesthetic,systems analyst,onsite,average,yes,3,aws
male,"sinhala, tamil",bachelor's degree,cyber security,3.45,4,1,2.48,Full Stack Developer,"MongoDB, React, Node.js, Express",low,visual,security engineer,hybrid,average,no,2,none
female,tamil,bachelor's degree,data science,2.31,1,1,3.25,Frontend Developer,"TypeScript, CSS, React, Tailwind CSS",moderate,visual,data scientist,remote,excellent,no,7,none
female,english,bachelor's degree,information technology,2.2,4,2,3.0,Backend Developer,"Microservices, SQL, REST API, Node.js",excellent,kinesthetic,systems analyst,hybrid,poor,yes,5,aws
female,sinhala,bachelor's degree,software engineering,2.84,1,2,3.53,Web Developer,"CSS, HTML, Bootstrap, PHP",moderate,kinesthetic,security engineer,hybrid,average,no,9,azure
male,sinhala,bachelor's degree,data science,2.94,1,2,2.51,Mobile App Developer,"Firebase, REST API, Flutter, Kotlin",low,auditory,qa engineer,remote,average,yes,8,cisco
female,"sinhala, tamil",bachelor's degree,data science,2.48,4,2,3.13,Data Scientist,"Pandas, Python, Tableau, SQL",moderate,visual,devops engineer,remote,poor,no,11,aws
female,"english, sinhala",bachelor's degree,information technology,2.86,2,2,3.29,Data Analyst,"Excel, Data Visualization, Power BI, SQL",low,auditory,qa engineer,onsite,average,yes,6,aws
female,"tamil, english",bachelor's degree,software engineering,2.46,3,2,4.0,Machine Learning Engineer,"Deep Learning, TensorFlow, Python, Scikit-learn",low,visual,security engineer,remote,poor,yes,8,cisco
female,"english, sinhala, tamil",bachelor's degree,computer science,2.97,2,2,2.79,AI Engineer,"TensorFlow, PyTorch, LLMs, Python",low,visual,systems analyst,onsite,excellent,no,4,google
female,"sinhala, tamil",bachelor's degree,computer science,3.46,4,1,2.85,BI Developer,"Excel, Tableau, ETL Tools, SQL",low,kinesthetic,devops engineer,remote,average,no,7,none
female,"english, sinhala, tamil",bachelor's degree,information technology,3.64,1,2,2.22,DevOps Engineer,"AWS, Linux, Docker, Jenkins",moderate,auditory,security engineer,remote,poor,no,12,none
male,sinhala,bachelor's degree,software engineering,3.1,4,2,2.86,Cloud Engineer,"Terraform, Kubernetes, Docker, Azure",low,auditory,data scientist,hybrid,excellent,no,9,cisco
male,english,bachelor's degree,information technology,3.27,2,2,3.69,Cloud Architect,"Microservices, Networking, Scalability, Security",moderate,visual,qa engineer,remote,average,yes,3,none
female,"english, sinhala",bachelor's degree,cyber security,3.23,2,1,2.31,Cybersecurity Analyst,"Networking, Linux, SIEM, Firewalls",excellent,auditory,systems analyst,onsite,excellent,no,12,google
male,tamil,bachelor's degree,software engineering,2.45,4,2,3.72,Ethical Hacker,"Burp Suite, Python, Wireshark, Metasploit",moderate,kinesthetic,systems analyst,remote,average,yes,10,none
female,tamil,bachelor's degree,information technology,3.08,3,2,2.3,Security Engineer,"Firewalls, Linux, Cloud Security, SIEM",excellent,visual,security engineer,hybrid,poor,no,11,azure
female,"sinhala, tamil",bachelor's degree,computer science,3.74,1,1,2.29,Information Security Analyst,"Networking, Risk Assessment, Incident Response, SIEM",excellent,visual,software engineer,onsite,excellent,yes,6,aws
female,"sinhala, tamil",bachelor's degree,information technology,4.0,4,1,3.63,Network Engineer,"TCP/IP, Firewalls, VPN, Cisco",low,kinesthetic,software engineer,onsite,excellent,no,3,cisco
male,english,bachelor's degree,information technology,2.55,3,1,3.64,System Administrator,"Active Directory, Virtualization, Linux, Bash",moderate,kinesthetic,devops engineer,hybrid,excellent,no,5,azure
female,sinhala,bachelor's degree,computer science,2.6,2,2,3.86,IT Support Engineer,"Ticketing Tools, Active Directory, Networking, Hardware",low,auditory,software engineer,remote,average,yes,12,aws
female,english,bachelor's degree,computer science,2.49,3,1,3.87,Hardware Engineer,"Circuit Design, Electronics, Microcontrollers, PCB Design",moderate,auditory,systems analyst,onsite,average,no,9,aws
female,"tamil, english",bachelor's degree,cyber security,2.84,4,1,3.18,QA Engineer,"API Testing, Jira, Test Cases, Manual Testing",low,kinesthetic,qa engineer,onsite,average,yes,12,google
male,english,bachelor's degree,information technology,3.13,2,1,3.59,Software Tester,"Selenium, SQL, Manual Testing, Bug Tracking",excellent,visual,qa engineer,hybrid,poor,no,5,google
female,"english, sinhala",bachelor's degree,software engineering,3.93,2,1,3.29,Automation Test Engineer,"Selenium, TestNG, CI/CD, Cypress",excellent,kinesthetic,data scientist,remote,poor,yes,9,none
female,english,bachelor's degree,software engineering,3.54,4,1,3.12,UI Designer,"Figma, Prototyping, Color Theory, UI Principles",moderate,kinesthetic,data scientist,onsite,excellent,no,9,none
male,"tamil, english",bachelor's degree,cyber security,2.6,4,2,2.87,UX Designer,"Wireframing, User Research, Prototyping, Figma",excellent,visual,systems analyst,onsite,poor,yes,4,aws
female,"sinhala, tamil",bachelor's degree,cyber security,2.58,4,2,2.92,Product Designer,"Design Systems, UX Research, Figma, User Flow",moderate,visual,data scientist,hybrid,excellent,no,12,azure
male,sinhala,bachelor's degree,information technology,2.91,3,2,3.41,Blockchain Developer,"Web3.js, Ethereum, Solidity, Cryptography",low,visual,qa engineer,hybrid,average,yes,10,aws
male,"tamil, english",bachelor's degree,data science,3.29,4,2,3.61,IoT Engineer,"Sensors, C/C++, Cloud Integration, Arduino",moderate,visual,security engineer,onsite,average,no,5,cisco
female,english,bachelor's degree,cyber security,3.12,1,2,2.28,Embedded Systems Engineer,"Electronics, PCB Design, Microcontrollers, C/C++",excellent,auditory,security engineer,remote,average,yes,9,google
male,"english, sinhala, tamil",bachelor's degree,information technology,3.65,1,2,3.18,AR/VR Developer,"XR SDKs, 3D Modeling, C#, Blender",moderate,visual,qa engineer,remote,excellent,no,4,azure
female,english,bachelor's degree,computer science,3.66,4,1,2.46,SEO Specialist,"Google Analytics, Keyword Research, SEO Tools, Content Strategy",excellent,visual,software engineer,hybrid,average,no,1,azure
male,tamil,bachelor's degree,information technology,3.44,1,2,3.2,IT Support Specialist,"Hardware, Windows, Networking, Troubleshooting",low,kinesthetic,security engineer,remote,excellent,no,9,aws
female,"english, sinhala",bachelor's degree,cyber security,2.46,3,2,2.84,Software Engineer,"SQL, OOP, Python, Git",moderate,auditory,systems analyst,onsite,excellent,no,2,azure
male,english,bachelor's degree,software engineering,3.57,1,1,3.05,Full Stack Developer,"JavaScript, REST API, React, Node.js",low,auditory,software engineer,onsite,poor,no,0,cisco
female,english,bachelor's degree,cyber security,2.42,2,2,2.44,Frontend Developer,"Tailwind CSS, TypeScript, CSS, HTML",moderate,kinesthetic,security engineer,remote,excellent,yes,12,azure
male,tamil,bachelor's degree,data science,2.04,2,2,3.89,Backend Developer,"Node.js, Spring Boot, REST API, SQL",excellent,auditory,software engineer,onsite,poor,yes,1,google
male,"tamil, english",bachelor's degree,cyber security,2.32,1,2,2.34,Web Developer,"PHP, JavaScript, HTML, CSS",moderate,auditory,systems analyst,remote,average,no,10,azure
female,"english, sinhala",bachelor's degree,cyber security,2.36,1,2,3.47,Mobile App Developer,"Flutter, Firebase, Kotlin, Swift",excellent,auditory,software engineer,hybrid,poor,no,5,aws
female,"english, sinhala, tamil",bachelor's degree,information technology,3.82,4,1,2.83,Data Scientist,"Machine Learning, Tableau, NumPy, Pandas",moderate,auditory,qa engineer,hybrid,average,yes,6,google
female,"english, sinhala, tamil",bachelor's degree,software engineering,3.44,4,2,3.53,Data Analyst,"Statistics, SQL, Python, Power BI",moderate,kinesthetic,qa engineer,hybrid,average,no,9,azure
female,tamil,bachelor's degree,computer science,4.0,1,1,3.25,Machine Learning Engineer,"Scikit-learn, Pandas, Python, TensorFlow",excellent,auditory,qa engineer,hybrid,excellent,yes,9,azure
female,"english, sinhala",bachelor's degree,cyber security,2.45,1,2,3.89,AI Engineer,"NLP, Python, LLMs, PyTorch",low,visual,software engineer,onsite,average,no,6,cisco
